J. Comput. Physics, 255
PVLDB, 252
Information Visualization, 248
International Conference on Natural Computation, 248
Computer Aided Geometric Design, 247
IEEE Vehicular Technology Conference, 245
Multimedia Tools Appl., 233
Pacific Conference on Computer Graphics and Applications, 232
IEEE International Conference on Robotics and Biomimetics, 223
International Conference on Data Engineering, 221
IEEE Trans. Biomed. Engineering, 213
International Journal of Computer Vision, 213
Comput. Geom., 211
Applied Mathematics and Computation, 210
Nucleic Acids Research, 208
IEEE Trans. Knowl. Data Eng., 206
IEEE Access, 204
AMIA  American Medical Informatics Association Annual Symposium, 203
Symposium on Interactive 3D Graphics, 203
ACM International Conference on Multimedia, 195
Hawaii International Conference on System Sciences, 195
ACM Symposium on Virtual Reality Software and Technology, 194
IEEE Trans. Geoscience and Remote Sensing, 189
International Conference on Fuzzy Systems and Knowledge Discovery, 185
ACM SIGKDD International Conference on Knowledge Discovery and Data Mining, 184
IEEE Trans. Industrial Electronics, 183
SCIENCE CHINA Information Sciences, 183
IEEE International Conference on Data Mining, 181
IEEE International Conference on Big Data, 180
Advances in Neural Networks, 178
Information Processing in Medical Imaging, 178
INTERSPEECH, 177
IEEE Virtual Reality, 175
International Conference on Parallel Processing, 175
SIAM J. Scientific Computing, 174
Remote Sensing, 171
IEEE Trans. Parallel Distrib. Syst., 169
IEEE Trans. Multimedia, 168
Inf. Sci., 167
International Conference on Software Engineering, 166
Computational Science, 164
Visualization, 163
Computational Geometry, 162
Extended Abstracts  Conference on Human Factors in Computing Systems, 162
IEEE International Symposium on Mixed and Augmented Reality, 162
J. Comput. Sci. Technol., 162
Presence, 161
Graphical Models, 159
Computing in Science and Engineering, 158
International Conference on World Wide Web, 158
International Conference on Multimedia, 157
Pattern Recognition Letters, 157
Twenty- International Joint Conference on Artificial Intelligence, 157
Computer Vision and Image Understanding, 156
Future Generation Comp. Syst., 156
ACM SIGCHI Conference on Human Factors in Computing Systems, 155
Signal Processing, 155
IEEE Symposium on 3D User Interfaces, 153
IEEE Symposium on Visual Analytics Science and Technology, 153
IEEE Global Communications Conference, 152
Expert Syst. Appl., 151
SIAM International Conference on Data Mining, 150
IEEE Trans. Circuits Syst. Video Techn., 149
Algorithmica, 146
International Conference on Shape Modeling and Applications, 146
Special Interest Group on Computer Graphics and Interactive Techniques Conference, 146
Interactions, 145
J. Vis. Lang. Comput., 145
IEEE International Conference on Bioinformatics and Biomedicine, 143
IEEE International Geoscience & Remote Sensing Symposium, 143
Canadian Conference on Computational Geometry, 142
International Joint Conference on Neural Networks, 141
PLoS Computational Biology, 141
ACM Trans. Comput.-Hum. Interact., 140
IEEE Trans. Computers, 140
IEEE Trans. Vis. Comput. Graph. [VAST], 139
ACM Conference on Information and Knowledge Management, 138
Int. J. Comput. Geometry Appl., 138
Spring Conference on Computer Graphics, 137
IEEE Wireless Communications and Networking Conference, 136
Theor. Comput. Sci., 136
Int. J. Hum.-Comput. Stud., 135
International Parallel and Distributed Processing Symposium, 133
IEEE Trans. Systems, 132
JASIST, 132
ACM International Conference on Information and Knowledge Management, 129
Database Systems for Advanced Applications, 129
Medicine Meets Virtual Reality, 129
Advances in Multimedia Information Processing, 128
Computer Networks, 128
CARS . Computer Assisted Radiology and Surgery.  International Congress and Exhibition, 127
Inf. Process. Lett., 126
International Meshing Roundtable, 126
Symposium on Applied Perception in Graphics and Visualization, 126
ACM Symposium on Applied Computing, 125
J. Parallel Distrib. Comput., 125
ACM Symposium on Computational Geometry, 124
IEEE Trans. Vis. Comput. Graph. [SciVis], 123
IEEE Trans. Signal Processing, 122
International Journal of Geographical Information Science, 121
IEEE Data Eng. Bull., 120
International Computer Music Conference, 120
IEEE Congress on Evolutionary Computation, 119
Journal of Computational Chemistry, 119
Thirty- AAAI Conference on Artificial Intelligence, 119
American Control Conference, 118
